PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,Age,Adj_Price
Single Family Res,0.46,RESIDENTIAL,C," $97,549.00 "," $413,222.00 ",1312.0,1312.0,2000.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,594.0,1.0,260.0,0.0,,0.0,,0.0,,0.0,,1.0,210.0,0.0,,420000.0,2022-11-28,0.0,Residential,76.0,420000.0
Single Family Res,0.46,RESIDENTIAL,C," $97,549.00 "," $413,222.00 ",1312.0,1312.0,2000.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,594.0,1.0,260.0,0.0,,0.0,,0.0,,0.0,,1.0,210.0,0.0,,420000.0,2022-11-28,0.0,Land Sales,76.0,420000.0
Single Family Res,0.38,RESIDENTIAL,C," $89,986.00 "," $435,307.00 ",1764.0,1300.0,2001.0,3.0,One Story,3.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,,315000.0,2025-03-12,0.0,Residential,52.0,315000.0
Single Family Res,0.38,RESIDENTIAL,C," $89,986.00 "," $435,307.00 ",1764.0,1300.0,2001.0,3.0,One Story,3.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,,315000.0,2025-03-12,0.0,Land Sales,52.0,315000.0
Single Family Res,0.22,RESIDENTIAL,C," $71,436.00 "," $375,768.00 ",1522.0,0.0,2001.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,125.0,0.0,,410000.0,2024-06-03,0.0,Residential,51.0,410000.0
Single Family Res,0.22,RESIDENTIAL,C," $71,436.00 "," $375,768.00 ",1522.0,0.0,2001.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,125.0,0.0,,410000.0,2024-06-03,0.0,Land Sales,51.0,410000.0
Vacant,0.17,RESIDENTIAL,C," $64,065.00 "," $64,065.00 ",1862.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,410000.0,2022-02-08,0.0,Residential,,410000.0
Vacant,0.17,RESIDENTIAL,C," $64,065.00 "," $64,065.00 ",1862.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,410000.0,2022-02-08,0.0,Land Sales,,410000.0
Single Family Res,0.19,RESIDENTIAL,C," $67,146.00 "," $211,298.00 ",2923.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1728.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,485000.0,2023-12-04,0.0,Residential,,485000.0
Single Family Res,0.19,RESIDENTIAL,C," $67,146.00 "," $211,298.00 ",2923.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1728.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,485000.0,2023-12-04,0.0,Land Sales,,485000.0
Single Family Res,0.25,RESIDENTIAL,C," $75,399.00 "," $579,439.00 ",3091.0,0.0,2006.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,671.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Residential,40.0,485000.0
Single Family Res,0.25,RESIDENTIAL,C," $75,399.00 "," $579,439.00 ",3091.0,0.0,2006.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,671.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Land Sales,40.0,485000.0
Single Family Res,0.21,RESIDENTIAL,C," $70,046.00 "," $481,788.00 ",1547.0,1547.0,2011.0,3.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,506.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Residential,25.0,485000.0
Single Family Res,0.21,RESIDENTIAL,C," $70,046.00 "," $481,788.00 ",1547.0,1547.0,2011.0,3.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,506.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Land Sales,25.0,485000.0
Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $433,245.00 ",1214.0,1184.0,2009.0,3.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,576.0,2.0,,,,,,,,,,,,,,,,,438500.0,2025-06-13,0.0,Residential,28.0,438500.0
Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $433,245.00 ",1214.0,1184.0,2009.0,3.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,576.0,2.0,,,,,,,,,,,,,,,,,438500.0,2025-06-13,0.0,Land Sales,28.0,438500.0
Vacant,0.18,RESIDENTIAL,C," $65,630.00 "," $405,726.00 ",1653.0,0.0,2025.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,492.0,2.0,,,,,,,,,,,,,,,,,399245.0,2025-09-15,0.0,Residential,1.0,399245.0
Vacant,0.18,RESIDENTIAL,C," $65,630.00 "," $405,726.00 ",1653.0,0.0,2025.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,492.0,2.0,,,,,,,,,,,,,,,,,399245.0,2025-09-15,0.0,Land Sales,1.0,399245.0
Exempt,4.37,GOVERNMENTAL,C, $-   , $-   ,1880.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,640000.0,2023-12-07,0.0,Residential,,640000.0
Exempt,4.37,GOVERNMENTAL,C, $-   , $-   ,1880.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,640000.0,2023-12-07,0.0,Land Sales,,640000.0
Exempt,0.01,GOVERNMENTAL,C, $-   , $-   ,1168.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,425000.0,2024-06-05,0.0,Residential,,425000.0
Exempt,0.01,GOVERNMENTAL,C, $-   , $-   ,1168.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,425000.0,2024-06-05,0.0,Land Sales,,425000.0
Single Family Res,0.34,RESIDENTIAL,C," $85,856.00 "," $525,907.00 ",2337.0,0.0,2014.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,606.0,2.0,0.0,,0.0,,1.0,550.0,0.0,,0.0,,0.0,,0.0,,0.0,,565000.0,2023-12-21,0.0,Residential,18.0,565000.0
Single Family Res,0.34,RESIDENTIAL,C," $85,856.00 "," $525,907.00 ",2337.0,0.0,2014.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,606.0,2.0,0.0,,0.0,,1.0,550.0,0.0,,0.0,,0.0,,0.0,,0.0,,565000.0,2023-12-21,0.0,Land Sales,18.0,565000.0
Single Family Res,0.5,RESIDENTIAL,C," $130,327.00 "," $656,941.00 ",2636.0,0.0,2012.0,4.0,One and One Half,3.0,1.0,0.0,1.0,1.0,0.0,0.0,768.0,2.0,2.0,750.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,657500.0,2024-02-02,0.0,Residential,28.0,657500.0
Single Family Res,0.5,RESIDENTIAL,C," $130,327.00 "," $656,941.00 ",2636.0,0.0,2012.0,4.0,One and One Half,3.0,1.0,0.0,1.0,1.0,0.0,0.0,768.0,2.0,2.0,750.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,657500.0,2024-02-02,0.0,Land Sales,28.0,657500.0
Exempt,0.02,GOVERNMENTAL,C, $-   , $-   ,3270.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,430000.0,2025-11-19,0.0,Residential,,430000.0
Exempt,0.02,GOVERNMENTAL,C, $-   , $-   ,3270.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,430000.0,2025-11-19,0.0,Land Sales,,430000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $272,640.00 ",1344.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,50.0,0.0,,349500.0,2022-04-24,0.0,Residential,30.0,349500.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $272,640.00 ",1344.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,50.0,0.0,,349500.0,2022-04-24,0.0,Land Sales,30.0,349500.0
Single Family Res,0.14,RESIDENTIAL,C," $47,438.00 "," $263,589.00 ",1056.0,0.0,2016.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,110.0,0.0,,320000.0,2025-07-30,0.0,Residential,30.0,320000.0
Single Family Res,0.14,RESIDENTIAL,C," $47,438.00 "," $263,589.00 ",1056.0,0.0,2016.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,110.0,0.0,,320000.0,2025-07-30,0.0,Land Sales,30.0,320000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,337500.0,2023-08-03,0.0,Residential,30.0,337500.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,335000.0,2024-05-15,0.0,Residential,30.0,335000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,337500.0,2023-08-03,0.0,Land Sales,30.0,337500.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,335000.0,2024-05-15,0.0,Land Sales,30.0,335000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $263,546.00 ",1370.0,0.0,2007.0,3.0,Two Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,,,,,,,,,,,,,,,,,320000.0,2024-10-04,0.0,Residential,33.0,320000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $263,546.00 ",1370.0,0.0,2007.0,3.0,Two Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,,,,,,,,,,,,,,,,,320000.0,2024-10-04,0.0,Land Sales,33.0,320000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $360,294.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,355000.0,2022-12-23,0.0,Residential,3.0,355000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $360,294.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,355000.0,2022-12-23,0.0,Land Sales,3.0,355000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $362,178.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,365000.0,2023-01-03,0.0,Residential,3.0,365000.0
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $362,178.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,365000.0,2023-01-03,0.0,Land Sales,3.0,365000.0
Single Family Res,0.12,RESIDENTIAL,C," $47,438.00 "," $377,192.00 ",1619.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,484.0,2.0,,,,,,,,,,,,,,,,,445000.0,2022-07-22,0.0,Residential,20.0,445000.0
Single Family Res,0.12,RESIDENTIAL,C," $47,438.00 "," $377,192.00 ",1619.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,484.0,2.0,,,,,,,,,,,,,,,,,445000.0,2022-07-22,0.0,Land Sales,20.0,445000.0
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $550,806.00 ",2464.0,1364.0,2013.0,3.5,Two Story,4.0,0.0,0.1,1.0,1.0,0.0,0.0,703.0,2.0,,,,,,,,,,,,,,,,,460000.0,2023-01-26,0.0,Residential,20.0,460000.0
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $550,806.00 ",2464.0,1364.0,2013.0,3.5,Two Story,4.0,0.0,0.1,1.0,1.0,0.0,0.0,703.0,2.0,,,,,,,,,,,,,,,,,460000.0,2023-01-26,0.0,Land Sales,20.0,460000.0
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $345,824.00 ",1633.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,373.0,2.0,,,,,,,,,,,,,,,,,426500.0,2025-06-13,0.0,Residential,20.0,426500.0
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $345,824.00 ",1633.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,373.0,2.0,,,,,,,,,,,,,,,,,426500.0,2025-06-13,0.0,Land Sales,20.0,426500.0
Res Plex (2 - 4),6.13,DUPLEX,C," $202,272.00 "," $400,010.00 ",2106.0,0.0,2002.0,2.5,Duplex,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,360000.0,2022-04-11,0.0,Residential,47.0,360000.0
Res Plex (2 - 4),6.13,DUPLEX,C," $202,272.00 "," $400,010.00 ",2106.0,0.0,2002.0,2.5,Duplex,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,360000.0,2022-04-11,0.0,Land Sales,47.0,360000.0
Single Family Res,0.5,RESIDENTIAL,C," $87,952.00 "," $409,781.00 ",1900.0,0.0,2001.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,1.0,896.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,454900.0,2022-09-28,0.0,Residential,48.0,454900.0
Single Family Res,0.5,RESIDENTIAL,C," $87,952.00 "," $409,781.00 ",1900.0,0.0,2001.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,1.0,896.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,454900.0,2022-09-28,0.0,Land Sales,48.0,454900.0
Manufactured Home,0.235,RESIDENTIAL,C," $73,454.00 "," $220,352.00 ",1053.0,0.0,2007.0,2.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,270000.0,2022-10-07,0.0,Residential,33.0,270000.0
Manufactured Home,0.235,RESIDENTIAL,C," $73,454.00 "," $220,352.00 ",1053.0,0.0,2007.0,2.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,270000.0,2022-10-07,0.0,Land Sales,33.0,270000.0
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,225000.0,2025-03-05,0.0,Residential,41.0,225000.0
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,225000.0,2025-03-05,0.0,Land Sales,41.0,225000.0
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,258750.0,2023-07-27,0.0,Residential,41.0,258750.0
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,258750.0,2023-07-27,0.0,Land Sales,41.0,258750.0
Single Family Res,0.398,RESIDENTIAL,C," $91,763.00 "," $240,282.00 ",1224.0,64.0,1994.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,275000.0,2023-08-22,0.0,Residential,145.0,275000.0
Single Family Res,0.398,RESIDENTIAL,C," $91,763.00 "," $240,282.00 ",1224.0,64.0,1994.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,275000.0,2023-08-22,0.0,Land Sales,145.0,275000.0
Single Family Res,0.4,RESIDENTIAL,C," $91,957.00 "," $324,717.00 ",1776.0,605.0,1996.0,2.5,One Story,2.0,0.0,0.0,1.0,1.0,442.0,0.0,0.0,0.0,1.0,1000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,335000.0,2022-07-22,0.0,Residential,76.0,335000.0
Single Family Res,0.4,RESIDENTIAL,C," $91,957.00 "," $324,717.00 ",1776.0,605.0,1996.0,2.5,One Story,2.0,0.0,0.0,1.0,1.0,442.0,0.0,0.0,0.0,1.0,1000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,335000.0,2022-07-22,0.0,Land Sales,76.0,335000.0
Single Family Res,0.35,RESIDENTIAL,C," $86,914.00 "," $384,691.00 ",1736.0,50.0,2000.0,4.0,One and One Half,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,368.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,99.0,0.0,,350000.0,2023-01-05,0.0,Residential,66.0,350000.0
Single Family Res,0.35,RESIDENTIAL,C," $86,914.00 "," $384,691.00 ",1736.0,50.0,2000.0,4.0,One and One Half,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,368.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,99.0,0.0,,350000.0,2023-01-05,0.0,Land Sales,66.0,350000.0
Single Family Res,0.48,RESIDENTIAL,C," $99,319.00 "," $483,979.00 ",1450.0,1450.0,1999.0,3.5,One Story,2.0,1.0,1.0,1.0,1.0,0.0,0.0,825.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,150.0,0.0,,455000.0,2023-06-16,0.0,Residential,59.0,455000.0
Single Family Res,0.48,RESIDENTIAL,C," $99,319.00 "," $483,979.00 ",1450.0,1450.0,1999.0,3.5,One Story,2.0,1.0,1.0,1.0,1.0,0.0,0.0,825.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,150.0,0.0,,455000.0,2023-06-16,0.0,Land Sales,59.0,455000.0
Single Family Res,0.23,RESIDENTIAL,C," $72,790.00 "," $478,123.00 ",1804.0,1066.0,2014.0,3.0,Two Story,2.0,1.0,0.86,1.0,1.0,0.0,0.0,567.0,2.0,1.0,640.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,170.0,0.0,,475000.0,2025-03-14,0.0,Residential,19.0,475000.0
Single Family Res,0.23,RESIDENTIAL,C," $72,790.00 "," $478,123.00 ",1804.0,1066.0,2014.0,3.0,Two Story,2.0,1.0,0.86,1.0,1.0,0.0,0.0,567.0,2.0,1.0,640.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,170.0,0.0,,475000.0,2025-03-14,0.0,Land Sales,19.0,475000.0
Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $231,259.00 ",1088.0,0.0,2001.0,3.5,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,290.0,0.0,,270000.0,2024-12-27,0.0,Residential,116.0,270000.0
Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $231,259.00 ",1088.0,0.0,2001.0,3.5,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,290.0,0.0,,270000.0,2024-12-27,0.0,Land Sales,116.0,270000.0
Exempt,0.06,GOVERNMENTAL,C, $-   , $-   ,1700.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,290000.0,2022-08-31,0.0,Residential,,290000.0
Exempt,0.06,GOVERNMENTAL,C, $-   , $-   ,1700.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,290000.0,2022-08-31,0.0,Land Sales,,290000.0
Single Family Res,0.14,RESIDENTIAL,C," $66,103.00 "," $373,961.00 ",1673.0,1673.0,2025.0,2.5,One Story,2.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,296.0,0.0,,452000.0,2022-07-20,0.0,Multi-Family,1.0,452000.0
Single Family Res,0.11,RESIDENTIAL,C," $58,634.00 "," $197,076.00 ",1250.0,0.0,1994.0,3.0,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,576.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,463000.0,2022-02-24,0.0,Residential,101.0,463000.0
Single Family Res,0.11,RESIDENTIAL,C," $58,634.00 "," $197,076.00 ",1250.0,0.0,1994.0,3.0,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,576.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,463000.0,2022-02-24,0.0,Multi-Family,101.0,463000.0
Single Family Res,0.11,RESIDENTIAL,C," $58,634.00 "," $197,076.00 ",1250.0,0.0,1994.0,3.0,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,576.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,463000.0,2022-02-24,0.0,Land Sales,101.0,463000.0
Manufactured Home,0.21,RESIDENTIAL,C," $77,051.00 "," $277,642.00 ",1272.0,0.0,2007.0,2.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,525.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,75.0,0.0,,244500.0,2022-05-24,0.0,Residential,32.0,244500.0
Manufactured Home,0.21,RESIDENTIAL,C," $77,051.00 "," $277,642.00 ",1272.0,0.0,2007.0,2.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,525.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,75.0,0.0,,244500.0,2022-05-24,0.0,Land Sales,32.0,244500.0
Single Family Res,0.31,RESIDENTIAL,C," $82,571.00 "," $370,694.00 ",1952.0,572.0,1995.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,832.0,1.0,192.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,359000.0,2025-02-21,0.0,Residential,79.0,359000.0
Single Family Res,0.31,RESIDENTIAL,C," $82,571.00 "," $370,694.00 ",1952.0,572.0,1995.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,832.0,1.0,192.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,359000.0,2025-02-21,0.0,Land Sales,79.0,359000.0
Single Family Res,0.4,RESIDENTIAL,C," $102,992.00 "," $260,806.00 ",1120.0,0.0,2011.0,3.0,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,392000.0,2022-07-12,0.0,Residential,76.0,392000.0
Single Family Res,0.4,RESIDENTIAL,C," $102,992.00 "," $260,806.00 ",1120.0,0.0,2011.0,3.0,One Story,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,392000.0,2022-07-12,0.0,Land Sales,76.0,392000.0
Single Family Res,0.36,RESIDENTIAL,C," $98,509.00 "," $451,210.00 ",1798.0,456.0,2008.0,3.5,One Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,576.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,330.0,0.0,,410000.0,2023-04-07,0.0,Residential,31.0,410000.0
Single Family Res,0.36,RESIDENTIAL,C," $98,509.00 "," $451,210.00 ",1798.0,456.0,2008.0,3.5,One Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,576.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,330.0,0.0,,410000.0,2023-04-07,0.0,Land Sales,31.0,410000.0
Single Family Res,0.75,RESIDENTIAL,C," $147,745.00 "," $592,376.00 ",2424.0,0.0,1998.0,4.0,One and One Half,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1226.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,357000.0,2025-07-15,0.0,Residential,125.0,357000.0
Single Family Res,0.75,RESIDENTIAL,C," $147,745.00 "," $592,376.00 ",2424.0,0.0,1998.0,4.0,One and One Half,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1226.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,357000.0,2025-07-15,0.0,Land Sales,125.0,357000.0
